,ymd,stock_code,pb
328,2026-01-05,000906,0.93
329,2026-01-05,000910,0.6
330,2026-01-05,000911,40.92
331,2026-01-05,000912,1.22
332,2026-01-05,000913,2.24
333,2026-01-05,000915,2.28
334,2026-01-05,000917,1.04
335,2026-01-05,000919,1.1
336,2026-01-05,000920,2.2
337,2026-01-05,000921,2.81
338,2026-01-05,000922,2.01
339,2026-01-05,000923,0.97
340,2026-01-05,000925,1.75
341,2026-01-05,000926,0.3
342,2026-01-05,000927,1.67
343,2026-01-05,000928,1.1
344,2026-01-05,000930,0.96
345,2026-01-05,000931,2.28
346,2026-01-05,000932,0.57
347,2026-01-05,000933,1.86
348,2026-01-05,000935,1.46
349,2026-01-05,000936,1.32
350,2026-01-05,000937,0.97
351,2026-01-05,000938,6.43
352,2026-01-05,000948,2.98
353,2026-01-05,000949,1.09
354,2026-01-05,000950,0.8
355,2026-01-05,000951,1.48
356,2026-01-05,000952,1.67
357,2026-01-05,000953,13.57
358,2026-01-05,000955,3.57
359,2026-01-05,000957,2.38
360,2026-01-05,000958,1.68
361,2026-01-05,000959,0.48
362,2026-01-05,000960,1.31
363,2026-01-05,000962,2.86
364,2026-01-05,000963,2.74
365,2026-01-05,000965,0.61
366,2026-01-05,000966,1.15
367,2026-01-05,000967,0.88
368,2026-01-05,000968,1.03
369,2026-01-05,000969,2.22
370,2026-01-05,000970,2.08
371,2026-01-05,000973,2.07
372,2026-01-05,000975,3.96
373,2026-01-05,000977,4.93
374,2026-01-05,000978,2.16
375,2026-01-05,000980,12.46
376,2026-01-05,000981,10.43
377,2026-01-05,000983,1.11
378,2026-01-05,000985,4.14
379,2026-01-05,000987,1.17
380,2026-01-05,000988,4.32
381,2026-01-05,000989,1.8
382,2026-01-05,000990,0.52
383,2026-01-05,000993,1.56
384,2026-01-05,000995,17.56
385,2026-01-05,000997,3.56
386,2026-01-05,000998,3.06
387,2026-01-05,000999,2.87
388,2026-01-05,001201,1.13
389,2026-01-05,001202,2.51
390,2026-01-05,001203,2.05
391,2026-01-05,001205,1.72
392,2026-01-05,001206,2.05
393,2026-01-05,001207,2.23
394,2026-01-05,001208,3.29
395,2026-01-05,001209,1.71
396,2026-01-05,001210,1.44
397,2026-01-05,001211,2.02
398,2026-01-05,001212,1.76
399,2026-01-05,001213,0.94
400,2026-01-05,001215,1.61
401,2026-01-05,001216,1.88
402,2026-01-05,001217,1.56
403,2026-01-05,001218,0.98
404,2026-01-05,001219,2.51
405,2026-01-05,,
406,2026-01-05,001222,2.44
407,2026-01-05,001223,1.7
408,2026-01-05,001225,1.55
409,2026-01-05,001226,3.12
410,2026-01-05,001227,0.46
411,2026-01-05,001228,1.27
412,2026-01-05,001229,4.22
413,2026-01-05,001230,1.29
414,2026-01-05,001231,1.81
415,2026-01-05,,
416,2026-01-05,001234,2.08
417,2026-01-05,001236,5.36
418,2026-01-05,001238,3.03
419,2026-01-05,001239,2.73
420,2026-01-05,001255,3.28
421,2026-01-05,001256,2.36
422,2026-01-05,001258,2.02
423,2026-01-05,001259,2.35
424,2026-01-05,001260,2.5
425,2026-01-05,001266,2.64
426,2026-01-05,001267,4.6
427,2026-01-05,001268,2.01
428,2026-01-05,001269,3.61
429,2026-01-05,001277,1.91
430,2026-01-05,001278,1.57
431,2026-01-05,001279,6.67
432,2026-01-05,,
433,2026-01-05,001282,2.59
434,2026-01-05,001283,2.38
435,2026-01-05,,
436,2026-01-05,001286,1.39
437,2026-01-05,001287,3.11
438,2026-01-05,001288,2.47
439,2026-01-05,001289,1.88
440,2026-01-05,001296,1.59
441,2026-01-05,001298,3.25
442,2026-01-05,001299,1.96
443,2026-01-05,001300,2.79
444,2026-01-05,001301,2.24
445,2026-01-05,001306,3.11
446,2026-01-05,001308,2.32
447,2026-01-05,001309,10.45
448,2026-01-05,001311,1.47
449,2026-01-05,001313,2.33
450,2026-01-05,001314,3.45
451,2026-01-05,001316,2.06
452,2026-01-05,001317,2.86
453,2026-01-05,001318,2.29
454,2026-01-05,001319,3.01
455,2026-01-05,001322,1.63
456,2026-01-05,001323,3.24
457,2026-01-05,001324,2.2
458,2026-01-05,,
459,2026-01-05,001326,1.98
460,2026-01-05,001328,4.04
461,2026-01-05,001330,1.38
462,2026-01-05,001332,1.57
463,2026-01-05,001333,1.4
464,2026-01-05,,
465,2026-01-05,001336,1.96
