排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
205,社区团购,BK0965,1013.51,5.47,0.54,588856976000,2.29,28,8,西安旅游,3.54
206,抗菌面料,BK1116,1800.67,9.69,0.54,117375907000,2.35,10,6,蒙泰高新,4.13
207,婴童概念,BK0664,1914.81,10.19,0.54,1397858160000,2.34,106,44,华侨城Ａ,6.92
208,肝素概念,BK0944,984.15,5.19,0.53,233916439000,1.3,10,3,双鹭药业,2.65
209,固态电池,BK0968,2544.72,13.3,0.53,6427753472000,2.25,125,83,福斯特,6.95
210,电子纸概念,BK1057,1209.51,6.32,0.53,370832352000,2.16,9,4,TCL科技,2.71
211,长寿药,BK0936,1213.85,6.23,0.52,158530520000,4.3,11,3,雪榕生物,4.85
212,2025中报扭亏,BK1196,1199.47,6.11,0.51,2191573952000,4.22,120,71,韩建河山,9.95
213,SPD概念,BK1147,1206.99,6.12,0.51,108009929000,1.96,11,2,浙江震元,1.38
214,充电桩,BK0700,3337.17,16.78,0.51,5263824128000,3.4,151,104,太阳电缆,10.01
215,智能家居,BK0680,3309.64,16.59,0.5,4163693264000,2.4,83,74,昇辉科技,19.95
216,基因测序,BK0693,2182.56,10.94,0.5,506832096000,6.56,32,13,广生堂,7.5
217,房屋检测,BK1179,1607.53,8.03,0.5,303827168000,3.1,24,16,东方雨虹,6.97
218,LED,BK0580,4684.4,23.15,0.5,1891535232000,3.04,51,43,民爆光电,20.01
219,并购重组概念,BK1181,1388.15,6.83,0.49,2662056672000,2.19,58,38,海联讯,12.16
220,旅游概念,BK0692,1874.81,9.09,0.49,476249552000,3.14,30,20,华侨城Ａ,6.92
221,精准医疗,BK0806,1193.49,5.77,0.49,620704064000,2.68,32,12,北陆药业,3.19
222,维生素,BK0895,2106.03,10.15,0.48,503906400000,1.77,23,10,华恒生物,2.19
223,胎压监测,BK0898,2724.55,13.12,0.48,393831072000,2.72,21,7,云意电气,3.3
224,昨日高振幅,BK1633,1034.63,4.93,0.48,11248352512000,6.73,189,164,特发信息,10.01
225,MicroLED,BK0948,1316.35,6.16,0.47,570201200000,3.19,13,11,天通股份,10.0
226,医疗器械概念,BK0668,4670.53,21.34,0.46,5329784832000,2.08,212,109,赛科希德,10.15
227,蚂蚁概念,BK0937,887.87,3.93,0.44,6346286336000,1.25,37,24,协鑫集成,9.88
228,深圳特区,BK0549,41083.91,181.28,0.44,11178106880000,2.22,189,154,特发信息,10.01
229,小金属概念,BK0695,4503.03,19.61,0.44,5746278912000,3.44,59,50,博迁新材,10.0
230,养老金,BK0823,1829.81,7.94,0.44,3820002512000,2.39,104,68,坚朗五金,10.02
231,智能电网,BK0581,2383.7,10.01,0.42,2797932192000,5.08,96,92,特发信息,10.01
232,独角兽,BK0835,2334.32,9.48,0.41,5143901952000,2.31,64,38,银轮股份,10.01
233,融资融券,BK0596,3369.31,13.51,0.4,118776766464000,1.94,2152,1574,凯龙高科,20.0
234,消毒剂,BK0913,1832.56,7.0,0.38,787038992000,2.6,38,21,润贝航科,7.01
235,3D玻璃,BK0881,1561.3,5.96,0.38,397547152000,3.74,10,5,东方电热,4.9
236,参股新三板,BK0600,3363.74,12.84,0.38,1772149152000,4.53,65,37,国晟科技,9.99
237,空间站概念,BK0994,2865.65,10.78,0.38,422746896000,7.26,10,10,全信股份,6.69
238,乡村振兴,BK0834,1776.58,6.6,0.37,1763200032000,3.0,85,53,金正大,5.73
239,PVDF概念,BK1012,1269.07,4.66,0.37,470040304000,1.75,9,7,天壕能源,3.53
240,电子后视镜,BK1125,1777.11,6.43,0.36,367296528000,2.07,14,11,兴民智通,10.03
241,体育产业,BK0708,1636.27,5.9,0.36,897919616000,2.63,46,28,杭州解百,10.0
242,注册制次新股,BK0971,778.32,2.73,0.35,2255405264000,5.84,45,39,丰倍生物,9.99
